listen on 3000
[00:22:40.305] GET /css/normalize.css
[00:22:40.305] GET /css/sweetalert.css
[00:22:40.306] GET /css/default.css
[00:22:40.309] GET /js/jquery.min.js
[00:22:40.349] GET /js/jquery.qrcode.min.js
[00:22:40.359] GET /js/rx.lite.js
[00:22:40.398] GET /js/mustache.min.js
[00:22:40.407] GET /js/sweetalert.min.js
[00:22:40.418] GET /js/utility.js
[00:22:40.424] GET /js/main.js
[00:22:40.433] GET /js/.js?_=1470003760129
[00:22:40.435] GET /css/sync.css
[00:22:40.436] GET /js/sync.js?_=1470003760130
[00:22:40.490] GET /
[00:22:40.492] GET /sync
[00:22:40.502] GET /css/normalize.css
[00:22:40.502] GET /css/sweetalert.css
[00:22:40.503] GET /css/default.css
[00:22:40.508] GET /js/jquery.min.js
[00:22:40.554] GET /js/jquery.qrcode.min.js
[00:22:40.560] GET /js/rx.lite.js
[00:22:40.605] GET /js/mustache.min.js
[00:22:40.612] GET /js/sweetalert.min.js
[00:22:40.623] GET /js/utility.js
[00:22:40.627] GET /js/main.js
[00:22:40.636] GET /js/.js?_=1470003760343
[00:22:40.644] GET /css/sync.css
[00:22:40.647] GET /js/sync.js?_=1470003760344
[00:22:40.708] GET /
[00:22:40.711] GET /sync
[00:22:40.721] GET /css/normalize.css
[00:22:40.721] GET /css/sweetalert.css
[00:22:40.722] GET /css/default.css
[00:22:40.729] GET /js/jquery.min.js
[00:22:40.771] GET /js/jquery.qrcode.min.js
[00:22:40.780] GET /js/rx.lite.js
[00:22:40.817] GET /js/mustache.min.js
[00:22:40.827] GET /js/sweetalert.min.js
[00:22:40.837] GET /js/utility.js
[00:22:40.842] GET /js/main.js
[00:22:40.850] GET /js/.js?_=1470003760548
[00:22:40.853] GET /css/sync.css
[00:22:40.858] GET /js/sync.js?_=1470003760549
[00:22:40.880] GET /
[00:22:40.882] GET /sync
[00:22:40.920] GET /css/normalize.css
[00:22:40.920] GET /css/sweetalert.css
[00:22:40.921] GET /css/default.css
[00:22:40.926] GET /js/jquery.min.js
[00:22:40.970] GET /js/jquery.qrcode.min.js
[00:22:40.976] GET /js/rx.lite.js
[00:22:41.020] GET /js/mustache.min.js
[00:22:41.027] GET /js/sweetalert.min.js
[00:22:41.037] GET /js/utility.js
[00:22:41.044] GET /js/main.js
[00:22:41.052] GET /js/.js?_=1470003760765
